sentence,clean_text,tokens,label
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,in short this was a monumental waste of time and energy and i would not recommend anyone to ever see this film,"['in', 'short', 'thi', 'wa', 'a', 'monument', 'wast', 'of', 'time', 'and', 'energi', 'and', 'i', 'would', 'not', 'recommend', 'anyon', 'to', 'ever', 'see', 'thi', 'film']",0
The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,the story unfolds in 18th century jutland and the use of period music played on period instruments is just one more fine touch,"['the', 'stori', 'unfold', 'in', 'th', 'centuri', 'jutland', 'and', 'the', 'use', 'of', 'period', 'music', 'play', 'on', 'period', 'instrument', 'is', 'just', 'one', 'more', 'fine', 'touch']",1
Even worse than Ticker!  ,even worse than ticker,"['even', 'wors', 'than', 'ticker']",0
say bye bye to your tip lady!,say bye bye to your tip lady,"['say', 'bye', 'bye', 'to', 'your', 'tip', 'ladi']",0
I have yet to run this new battery below two bars and that's three days without charging.,i have yet to run this new battery below two bars and that is three days without charging,"['i', 'have', 'yet', 'to', 'run', 'thi', 'new', 'batteri', 'below', 'two', 'bar', 'and', 'that', 'is', 'three', 'day', 'without', 'charg']",1
"Saw the movie today and thought it was a good effort, good messages for kids.  ",saw the movie today and thought it was a good effort good messages for kids,"['saw', 'the', 'movi', 'today', 'and', 'thought', 'it', 'wa', 'a', 'good', 'effort', 'good', 'messag', 'for', 'kid']",1
Their network coverage in Los Angeles is horrible.,their network coverage in los angeles is horrible,"['their', 'network', 'coverag', 'in', 'lo', 'angel', 'is', 'horribl']",0
"Bad characters, bad story and bad acting.  ",bad characters bad story and bad acting,"['bad', 'charact', 'bad', 'stori', 'and', 'bad', 'act']",0
It doesn't work in Europe or Asia.,it does not work in europe or asia,"['it', 'doe', 'not', 'work', 'in', 'europ', 'or', 'asia']",0
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",despite how hard i rate businesses its actually rare for me to give a star,"['despit', 'how', 'hard', 'i', 'rate', 'busi', 'it', 'actual', 'rare', 'for', 'me', 'to', 'give', 'a', 'star']",0
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,clever and a real crowd pleaser this film still ranks among mickey s best films even after wonderful years,"['clever', 'and', 'a', 'real', 'crowd', 'pleaser', 'thi', 'film', 'still', 'rank', 'among', 'mickey', 's', 'best', 'film', 'even', 'after', 'wonder', 'year']",1
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,i had absolutely no problem with this headset linking to my blackberry curve,"['i', 'had', 'absolut', 'no', 'problem', 'with', 'thi', 'headset', 'link', 'to', 'my', 'blackberri', 'curv']",1
The football scenes at the end were perplexing.  ,the football scenes at the end were perplexing,"['the', 'footbal', 'scene', 'at', 'the', 'end', 'were', 'perplex']",0
